
"Verzeichnis"
Sampa	Anfang [s]	Ende [s]	Dauer [s]	Grundfrequenz F0 [Hz]
f		0.067		0.224		0.157		-
e		0.224		0.266		0.042		100
R		0.266		0.332		0.066		90
ts		0.332		0.484		0.152		-
aI		0.484		0.640		0.156		85
C		0.640		0.754		0.114		-
n		0.754		0.866		0.112		88
E		0.866		0.933		0.067		78
s		0.933		1.055		0.122		-


"Klassifizierung der Vokale nach dem Artikulationsort"
Sampa	Anfang [s]	Ende [s]	Dauer [s]	Grundfrequenz F0 [Hz]
k		0.446		0.555		0.089		85
l		0.555		0.623		0.068		105
a		0.623		0.691		0.068		-
s		0.691		0.802		0.111		486
?		0.802		0.841		0.039		-
i:		0.841		0.902		0.061		325
f		0.902		0.998		0.096		-
i:		0.998		1.108		0.109		107
ts		1.108		1.202		0.094		497
_		1.202		1.233		0.031		-
i:		1.233		1.288		0.055		146
R		1.288		1.349		0.061		148
u:		1.349		1.443		0.094		150
n		1.443		1.476		0.033		146
g		1.476		1.513		0.036		130
_		1.513		1.579		0.066		-
d		1.579		1.611		0.032		-
e		1.611		1.666		0.055		96
r		1.666		1.695		0.029		91
_		1.695		1.721		0.026		-
v		1.721		1.756		0.035		96
o		1.756		1.813		0.057		92
_		1.813		1.891		0.077		-
k		1.891		1.982		0.092		-
a		1.982		2.140		0.158		113
l		2.140		2.221		0.081		125
e		2.221		2.303		0.081		125
n		2.303		2.401		0.099		103
a		2.401		2.478		0.077		91
x		2.478		2.626		0.147		-
d		2.626		2.661		0.035		461
e		2.661		2.736		0.076		89
m		2.736		2.782		0.045		-
a		2.782		2.898		0.116		94
r		2.898		2.983		0.086		-
t		2.983		3.040		0.057		-
i		3.040		3.092		0.052		114
k		3.092		3.233		0.141		-
u		3.233		3.303		0.069		98
l		3.303		3.385		0.082		99
a		3.385		3.450		0.066		-
ts		3.450		3.550		0.100		-
i		3.550		3.590		0.040		440
o		3.590		3.665		0.075		464
n		3.665		3.742		0.077		181
s		3.742		3.853		0.111		-
o		3.853		3.980		0.126		194
r		3.980		4.039		0.060		81
t		4.039		4.145		0.106		-


"Die Belegung ist dem Schaltplan zu entnehmen"
Sampa	Anfang [s]	Ende [s]	Dauer [s]	Grundfrequenz F0 [Hz]
d		0.0705		0.1043		0.0338		-
i:		0.1043		0.1961		0.0918		102
_		0.1961		0.2158		0.0200		-
b		0.2158		0.2536		0.0377		106
e:		0.2536		0.3541		0.1005		96
l		0.3541		0.3992		0.0451		94
e:		0.3992		0.5376		0.1384		99
g		0.5376		0.6031		0.0655		-
u:		0.6031		0.6727		0.0696		140
n		0.6727		0.7888		0.1161		140
g		0.7888		0.8439		0.0551		-
_		0.8439		0.8660		0.0221		-
i		0.8660		0.9238		0.0578		106
s		0.9238		1.0210		0.0972		-
_		1.0210		1.0630		0.0420		-
d		1.0630		1.0980		0.0350		-
e		1.0980		1.1294		0.0315		90
m		1.1294		1.1883		0.0590		88
_		1.1883		1.2044		0.0161		-
S		1.2044		1.2996		0.0952		-
a:		1.2996		1.3654		0.0659		-
l		1.3654		1.4753		0.1098		102
t		1.4753		1.6867		0.2114		-
p		1.6867		1.7172		0.0305		113
l		1.7172		1.7346		0.0174		110
a:		1.7346		1.7922		0.0575		105
n		1.7922		1.9442		0.1521		108
_ 		1.9442		1.9911		0.0469		-
ts		1.9911		2.0676		0.0765		-
u		2.0676		2.1530		0.0854		111
e		2.1530		2.2166		0.0636		106
n		2.2166		2.3121		0.0955		104
t		2.3121		2.3550		0.0429		91
n		2.3550		2.4412		0.0862		85
e		2.4412		2.5577		0.1165		84
m		2.5577		2.7518		0.1941		78
